query_name,query_family,optimizer_name,inference_time_ms,actual_latency_ms,end_to_end_time_ms,estimated_cost,plan_json_hash,split_name,training_time_s
25b.sql,25,PostgreSQL_GEQO(t=2),0.009167008101940155,123.354,123.36316700810194,9144.47,2902233607870559814,base_query_split_1,2.7458008844405413e-05
25b.sql,25,XGBoostLQO,139.75787500385195,122.944,262.70187500385197,9144.47,-4667225373038562574,base_query_split_1,4.227137335983571
17a.sql,17,PostgreSQL_Default,0.0004169996827840805,9829.691,9829.691416999683,4613.3,3492993337456400790,base_query_split_1,4.416971933096647e-06
17a.sql,17,PostgreSQL_GEQO(t=2),0.014167046174407005,11013.523,11013.537167046174,4002.93,-6603643702070746847,base_query_split_1,2.7458008844405413e-05
17a.sql,17,XGBoostLQO,159.35516700847074,3735.499,3894.8541670084705,566445.04,-4058000494759229355,base_query_split_1,4.227137335983571
17c.sql,17,PostgreSQL_Default,0.0005839974619448185,7759.816,7759.816583997462,4468.7,-2551695164924061410,base_query_split_1,4.416971933096647e-06
17c.sql,17,PostgreSQL_GEQO(t=2),0.015457975678145885,7126.993,7127.0084579756785,4144.43,2910231013068582740,base_query_split_1,2.7458008844405413e-05
17c.sql,17,XGBoostLQO,134.43862495478243,3460.769,3595.207624954782,562200.58,-9054916064859181553,base_query_split_1,4.227137335983571
17b.sql,17,PostgreSQL_Default,0.0003750319592654705,4342.308,4342.308375031959,4494.11,8477440858620716172,base_query_split_1,4.416971933096647e-06
17b.sql,17,PostgreSQL_GEQO(t=2),0.01229101326316595,6373.711,6373.723291013263,4151.15,6532174507246161318,base_query_split_1,2.7458008844405413e-05
17b.sql,17,XGBoostLQO,200.17304201610386,5196.336,5396.509042016104,562670.71,-8231241131362211180,base_query_split_1,4.227137335983571
17f.sql,17,PostgreSQL_Default,0.00045803608372807503,9002.192,9002.192458036083,4789.55,729115434075655474,base_query_split_1,4.416971933096647e-06
17f.sql,17,PostgreSQL_GEQO(t=2),0.009999959729611874,19526.729,19526.73899995973,4187.18,-2275058885012004498,base_query_split_1,2.7458008844405413e-05
17f.sql,17,XGBoostLQO,122.63695796718821,4221.051,4343.687957967189,570054.87,-2885753443026342326,base_query_split_1,4.227137335983571
17e.sql,17,PostgreSQL_Default,0.0010830117389559746,10618.106,10618.107083011739,4612.83,-5515028924778151075,base_query_split_1,4.416971933096647e-06
17e.sql,17,PostgreSQL_GEQO(t=2),0.012542004697024822,10646.668,10646.680542004697,4002.86,-2399817333971866769,base_query_split_1,2.7458008844405413e-05
17e.sql,17,XGBoostLQO,180.83854101132601,4892.527,5073.365541011326,578057.51,5742909651433931305,base_query_split_1,4.227137335983571
17d.sql,17,PostgreSQL_Default,0.0004169996827840805,12028.14,12028.140416999682,4468.7,-878747173779908316,base_query_split_1,4.416971933096647e-06
17d.sql,17,PostgreSQL_GEQO(t=2),0.012334028724581003,7196.067,7196.079334028725,4144.42,-5184665683935559492,base_query_split_1,2.7458008844405413e-05
17d.sql,17,XGBoostLQO,258.2815000205301,3720.436,3978.71750002053,562200.57,-240195417980211591,base_query_split_1,4.227137335983571
18a.sql,18,PostgreSQL_Default,0.0006249756552278996,8435.63,8435.630624975654,31617.68,7070247796005126338,base_query_split_1,4.416971933096647e-06
